fatura_id,assinatura_id,data_emissao,data_vencimento,data_pagamento,valor_total,status,tipo_receita,produto
311,1511,03/11/2022,13/11/2022,12/11/2022,2100,pago,projeto,Projeto Iota
306,1506,15/05/2022,25/05/2022,24/05/2022,3000,pago,projeto,Projeto Zeta
301,1501,05/01/2022,15/01/2022,14/01/2022,1500,pago,projeto,Projeto Alpha
304,1504,12/03/2022,22/03/2022,21/03/2022,1800,pago,projeto,Projeto Delta
303,1503,08/03/2022,18/03/2022,17/03/2022,2000,pago,projeto,Projeto Gamma
310,1510,22/09/2022,02/10/2022,01/10/2022,2600,pago,projeto,Projeto Kappa
319,1519,05/06/2023,15/06/2023,14/06/2023,3800,pago,projeto,Projeto Omega
307,1507,04/07/2022,14/07/2022,13/07/2022,2200,pago,projeto,Projeto Omega
320,1520,15/06/2023,25/06/2023,24/06/2023,4200,pago,projeto,Projeto Sigma
312,1512,18/11/2022,28/11/2022,27/11/2022,3200,pago,projeto,Projeto Sigma
308,1508,20/07/2022,30/07/2022,29/07/2022,1400,pago,projeto,Projeto Theta
309,1509,06/09/2022,16/09/2022,15/09/2022,1700,pago,projeto,Projeto Lambda
305,1505,01/05/2022,11/05/2022,10/05/2022,2500,pago,projeto,Projeto Epsilon
315,1515,10/01/2023,20/01/2023,19/01/2023,3000,pago,projeto,Projeto Upsilon
